passed,failed
,recommended:bulk-job-1
,recommended:bulk-job-1
,recommended:bulk-job-1
,recommended:bulk-job-2
,recommended:bulk-job-3
,recommended:bulk-job-4
,recommended:bulk-job-1
,recommended:bulk-job-1
C Developer,Handshake,Remote,1-6 Yrs,"Programming, Data Structures, Debugging, C, Program, Development, Data","Experience contributing to product-level codebases through internships, full-time roles, or significant projects 1+ year of professional or equivalent hands-on software engineering experienceExperience working with human data is a plus"
Senior AI Engineer – Generative AI & Agentic AI,Globallogic,"Bengaluru, Secunderabad, Noida",5-10 Yrs,"fundamentals, semantic, python, orchestration, api integration, workflow, kernel, enterprise","Description: Experience with GraphRAG and Knowledge Graphs Exposure to MCP (Model Context Protocol) Experience with Azure OpenAI, AWS Bedrock, or Vertex AI Knowledge of MLOps, CI/CD, Docker, and Kubernetes Exposure to fine-tuning and model evaluat..."
Software Engineer,NetApp,Bengaluru,3-5 Yrs,"css, c++, hibernate, jquery, sql, cloud, spring, java",Typically requires a minimum of 2 years of related experienceCollecting and researching customer experience with cloud computing applications
QA DevOps Engineer,Tufin,Hybrid - Gurugram,2-7 Yrs,"Linux, Quality Assurance, Kubernetes, Writing Test Cases, Java, Networking, Docker, Devops Testing",. Must have at least two years experience as QA Engineer in a DevOps / Networking/infrastructure environmentExperience with Linux OS and troubleshootingExperience in Docker and Kubernetes Experience in working on / building automation testing
Technical Program Manager,Cashfree Payments,Bengaluru(Bellandur),3-6 Yrs,"Agile, Technical Program Management, TPM, Program, Management, Technical, Program management","Required Qualifications . Education: MBA / PGDM from a premier B-School (IIMs, ISB, SPJIMR, FMS, NITIE / IIM Mumbai, or equivalent)You must be comfortable reading code and discussing system architecture (APIs, Microservices, Databases)We welcome h..."
AI/ Machine Learning Engineers/ Leads/ Architects/ Mngrs- Fortune 500,Fortune 500 IT MNC,"Hybrid - Bengaluru, Pune, Hyderabad, Gurugram, Chennai, Mumbai (All Areas)",5-10 Yrs,"Machine Learning, Ml Engineer, Gen AI, AI ML, NLP, Artificial Intelligence, computer vision, ML Architect","We have 50+ urgent openings for Data Scientists, AI/ ML Engineers, Leads and Architects in varied skills like Machine Learning, LLM, Gen AI, NLP, Computer Vision, Agentic AI etc across levels for 4 to 27 years experience across locations."
AI Data Engineer_Adecco_Remote,Adecco Group,Hyderabad,5-10 Yrs,"Pyspark, Python, Java, Artificial Intelligence, SCALA, Aiml, Data, Intelligence","Qualifications: Bachelors degree in computer science, Engineering, or a related fieldOR Masters Degree in Computer Science, Math, Software Engineering, Computer Engineering, or related fieldOR equivalent experienceExperience with building data pip..."
Generative AI Developer,Firstsource,Remote,2-6 Yrs,"Backend, Generative Ai, Devops, Microservices, Python, Artificial Intelligence, Aiml, API",Bachelor s degree in CS / EE or equivalent practical experienceRequired Experience Languages & tooling : Proficient in Python (plus one of TypeScript / Go/Java)Minimum Qualifications At least one year owning a production GenAI or ML system (not a ...
Golang Developer,Handshake,Remote,1-6 Yrs,"Programming, Data Structures, Debugging, Golang, Program, Development, Data","Experience contributing to product-level codebases through internships, full-time roles, or significant projects 1+ year of professional or equivalent hands-on software engineering experienceExperience working with human data is a plus"
ML Engineer,C5i,Bengaluru,4-9 Yrs,"Docker, Ci/Cd, Python, ML Engineer, Ml Algorithms, Kubernetes, Azure Cloud, Ml Deployment","Cloud & Platform Expertise: . Hands-on experience with Azure Machine Learning Services, AWS Sagemaker, and Databricks. . Use Databricks MLflow, Delta Lake, and other tools for model tracking, experiment management, and data versioningRequired Skil..."
